size,series,variant,p95_ms
100000,jsonb_indexed,S7_and2,56.478
1000000,jsonb_indexed,S7_and2,575.672
1000,jsonb_unindexed,S7_and2,0.341
10000,jsonb_unindexed,S7_and2,4.032
100000,jsonb_unindexed,S7_and2,58.134
1000000,jsonb_unindexed,S7_and2,587.112
1000,rel_indexed,S7_and2,0.036
10000,rel_indexed,S7_and2,0.263
100000,rel_indexed,S7_and2,3.642
1000000,rel_indexed,S7_and2,49.017
1000,rel_unindexed,S7_and2,0.196
10000,rel_unindexed,S7_and2,2.269
100000,rel_unindexed,S7_and2,26.232
1000000,rel_unindexed,S7_and2,271.305
1000,jsonb_indexed,S8_and3,0.327
10000,jsonb_indexed,S8_and3,4.046
100000,jsonb_indexed,S8_and3,56.331
1000000,jsonb_indexed,S8_and3,570.357
1000,jsonb_unindexed,S8_and3,0.336
10000,jsonb_unindexed,S8_and3,4.557
100000,jsonb_unindexed,S8_and3,58.226
1000000,jsonb_unindexed,S8_and3,579.384
1000,rel_indexed,S8_and3,0.009
10000,rel_indexed,S8_and3,0.01
100000,rel_indexed,S8_and3,0.013
1000000,rel_indexed,S8_and3,0.012
1000,rel_unindexed,S8_and3,0.196
10000,rel_unindexed,S8_and3,2.413
100000,rel_unindexed,S8_and3,27.112
1000000,rel_unindexed,S8_and3,272.727
1000,jsonb_indexed,S9_or_keys,1.679
10000,jsonb_indexed,S9_or_keys,7.447
100000,jsonb_indexed,S9_or_keys,81.014
1000000,jsonb_indexed,S9_or_keys,833.903
1000,jsonb_unindexed,S9_or_keys,1.69
10000,jsonb_unindexed,S9_or_keys,7.808
100000,jsonb_unindexed,S9_or_keys,87.528
1000000,jsonb_unindexed,S9_or_keys,872.314
1000,rel_indexed,S9_or_keys,0.272
10000,rel_indexed,S9_or_keys,1.155
100000,rel_indexed,S9_or_keys,13.706
1000000,rel_indexed,S9_or_keys,168.793
1000,rel_unindexed,S9_or_keys,0.262
10000,rel_unindexed,S9_or_keys,2.405
100000,rel_unindexed,S9_or_keys,32.307
1000000,rel_unindexed,S9_or_keys,329.53
