variant,jsonb_indexed,jsonb_unindexed,rel_indexed,rel_unindexed,family
S10_topn_order,0.05,59.407,0.06,26.687,S10
S1_expr_eq_num,8.724,32.919,5.899,38.283,S1
S2_like_prefix,0.082,44.998,0.054,17.784,S2
S3_trgm_contains,48.247,121.277,33.28,67.554,S3
S4_ts_range,6.934,36.848,5.31,21.58,S4
S5_array_and,26.384,65.882,12.862,40.046,S5
S6_array_or,88.639,83.95,23.554,42.515,S6
S7_and2,8.518,8.399,4.885,27.79,S7
S8_and3,1.543,1.762,0.011,28.52,S8
S9_or_keys,65.686,69.761,16.537,33.499,S9
