variant,jsonb_indexed,jsonb_unindexed,rel_indexed,rel_unindexed,family
S10_topn_order,0.049,48.794,0.049,18.352,S10
S1_expr_eq_num,4.672,46.713,3.856,29.84,S1
S2_like_prefix,0.058,40.226,0.047,15.944,S2
S3_trgm_contains,44.398,104.091,24.7,65.977,S3
S4_ts_range,6.41,97.327,4.591,18.095,S4
S5_array_and,20.226,61.673,10.418,37.49,S5
S6_array_or,86.553,80.074,22.776,39.97,S6
S7_and2,55.885,57.1,3.339,26.109,S7
S8_and3,55.655,56.697,0.011,26.414,S8
S9_or_keys,79.875,83.868,13.166,31.386,S9
