variant,jsonb_indexed,jsonb_unindexed,rel_indexed,rel_unindexed,family
S10_topn_order,371,116431,371,36134,S10
S1_expr_eq_num,26936,116431,26810,36134,S1
S2_like_prefix,147,116431,63,36134,S2
S3_trgm_contains,120204,116431,39837,36134,S3
S4_ts_range,48720,116431,30016,36134,S4
S5_array_and,63350,116431,33852,36134,S5
S6_array_or,116431,116431,36680,36134,S6
S7_and2,29043,29043,27097,36134,S7
S8_and3,2002,2002,21,36134,S8
S9_or_keys,120407,120407,36449,36134,S9
