variant,jsonb_indexed,jsonb_unindexed,rel_indexed,rel_unindexed,family
S10_topn_order,0.051,50.446,0.055,19.015,S10
S1_expr_eq_num,4.744,47.351,4.126,30.17,S1
S2_like_prefix,0.06,40.531,0.049,16.54,S2
S3_trgm_contains,46.424,109.468,25.728,71.657,S3
S4_ts_range,7.187,98.695,4.615,19.326,S4
S5_array_and,21.353,64.386,11.893,38.215,S5
S6_array_or,92.64,80.595,23.636,45.018,S6
S7_and2,56.478,58.134,3.642,26.232,S7
S8_and3,56.331,58.226,0.013,27.112,S8
S9_or_keys,81.014,87.528,13.706,32.307,S9
