size,series,variant,p95_ms
100000,jsonb_indexed,S7_and2,5.072
1000000,jsonb_indexed,S7_and2,77.066
1000,jsonb_unindexed,S7_and2,0.309
10000,jsonb_unindexed,S7_and2,3.723
100000,jsonb_unindexed,S7_and2,51.854
1000000,jsonb_unindexed,S7_and2,513.406
1000,rel_indexed,S7_and2,0.041
10000,rel_indexed,S7_and2,0.322
100000,rel_indexed,S7_and2,4.529
1000000,rel_indexed,S7_and2,58.577
1000,rel_unindexed,S7_and2,0.244
10000,rel_unindexed,S7_and2,2.214
100000,rel_unindexed,S7_and2,27.914
1000000,rel_unindexed,S7_and2,295.144
1000,jsonb_indexed,S8_and3,0.027
10000,jsonb_indexed,S8_and3,0.218
100000,jsonb_indexed,S8_and3,2.119
1000000,jsonb_indexed,S8_and3,44.861
1000,jsonb_unindexed,S8_and3,0.318
10000,jsonb_unindexed,S8_and3,3.86
100000,jsonb_unindexed,S8_and3,53.822
1000000,jsonb_unindexed,S8_and3,579.11
1000,rel_indexed,S8_and3,0.048
10000,rel_indexed,S8_and3,0.338
100000,rel_indexed,S8_and3,3.448
1000000,rel_indexed,S8_and3,57.154
1000,rel_unindexed,S8_and3,0.255
10000,rel_unindexed,S8_and3,2.569
100000,rel_unindexed,S8_and3,31.324
1000000,rel_unindexed,S8_and3,340.46
1000,jsonb_indexed,S9_or_keys,0.464
10000,jsonb_indexed,S9_or_keys,3.791
100000,jsonb_indexed,S9_or_keys,52.05
1000000,jsonb_indexed,S9_or_keys,614.192
1000,jsonb_unindexed,S9_or_keys,0.565
10000,jsonb_unindexed,S9_or_keys,7.025
100000,jsonb_unindexed,S9_or_keys,80.564
1000000,jsonb_unindexed,S9_or_keys,861.575
1000,rel_indexed,S9_or_keys,0.266
10000,rel_indexed,S9_or_keys,1.179
100000,rel_indexed,S9_or_keys,15.462
1000000,rel_indexed,S9_or_keys,192.122
1000,rel_unindexed,S9_or_keys,0.28
10000,rel_unindexed,S9_or_keys,2.867
100000,rel_unindexed,S9_or_keys,35.012
1000000,rel_unindexed,S9_or_keys,549.854
