variant,jsonb_indexed,jsonb_unindexed,rel_indexed,rel_unindexed,family
S10_topn_order,0.056,493.261,0.061,168.966,S10
S1_expr_eq_num,71.786,507.615,53.314,309.193,S1
S2_like_prefix,0.06,417.132,0.05,181.473,S2
S3_trgm_contains,417.367,1073.709,224.465,671.581,S3
S4_ts_range,97.596,984.454,64.642,207.362,S4
S5_array_and,234.9,653.856,108.956,391.605,S5
S6_array_or,860.997,820.707,228.328,401.245,S6
S7_and2,575.672,587.112,49.017,271.305,S7
S8_and3,570.357,579.384,0.012,272.727,S8
S9_or_keys,833.903,872.314,168.793,329.53,S9
